日期	交易类型	金额（元）
01-24	ETC	316.88
01-24	ETC	68.40
01-23	ETC	130.15
01-23	ETC	5.00
01-23	ETC	28.50
01-22	ETC	268.94
01-21	ETC	28.37
01-21	ETC	17.10
01-21	ETC	18.05
01-20	ETC	177.65
01-19	ETC	70.22
01-19	ETC	9.50
01-19	ETC	51.93
01-19	ETC	38.00
01-19	ETC	47.15
01-18	ETC	159.60
01-17	ETC	47.22
01-17	ETC	43.54
01-17	ETC	237.21
01-08	ETC	34.20
01-07	ETC	34.20
01-07	ETC	32.13
01-06	ETC	43.70
01-06	ETC	68.40
01-01	ETC	70.30
01-01	ETC	15.20
01-01	ETC	68.40
12-31	ETC	147.00
12-29	ETC	28.50
12-28	ETC	28.50
12-27	ETC	1.90
12-27	ETC	0.71
12-24	ETC	28.50
12-24	ETC	7.60
12-24	ETC	57.95
12-24	ETC	20.00
12-24	ETC	36.06
12-23	ETC	5.00
12-23	ETC	28.50
12-23	支付宝 - 哈尔滨市城市通智能卡有限责任公司	5.00
12-22	ETC	1.90
12-22	ETC	13.30
12-22	ETC	11.40
12-22	ETC	28.50
12-21	ETC	27.55
12-21	ETC	28.50
12-21	ETC	28.50
12-21	ETC	28.50
12-20	ETC	28.50
12-20	ETC	5.00
12-20	ETC	5.00
12-20	ETC	28.50
12-20	ETC	28.50
12-20	ETC	28.50
12-20	ETC	12.07
12-19	ETC	5.00
12-19	ETC	0.71
12-19	ETC	28.50
12-19	ETC	28.50
12-19	ETC	5.61
12-19	ETC	54.61
12-19	ETC	28.50
12-18	ETC	28.50
12-18	ETC	33.25
12-18	ETC	5.00
12-18	ETC	28.50
12-18	ETC	7.60
12-18	ETC	23.75
12-17	ETC	7.60
12-17	ETC	5.00
12-17	ETC	28.50
12-14	ETC	63.58
12-14	ETC	64.60
12-14	ETC	63.39
12-14	ETC	70.30
12-14	ETC	28.50
12-13	ETC	19.59
12-11	ETC	28.50
12-11	ETC	153.82
12-10	ETC	47.50
12-09	ETC	111.89
